txn_id,customer_id,txn_date,txn_city,amount,merchant_name,category,status,method
194,167,2023-06-04,Atlanta,607.81,Comcast,Bills,Success,Debit
195,214,2023-06-19,Las Vegas,298.12,Delta Airlines,Travel,Failed,Credit
196,109,2023-02-14,Chicago,203.03,Con Edison,Bills,Success,Debit
197,99,2023-03-26,Atlanta,10.85,McDonalds,Food,Success,Credit
198,9,2023-06-06,Nashville,43.72,Chipotle,Food,Success,Debit
199,190,2023-06-30,Charlotte,64.85,Walmart,Shopping,Failed,Credit
200,115,2023-01-23,Milwaukee,10.47,AMC Theaters,Entertainment,Success,Credit
201,65,2023-06-07,Milwaukee,5.56,Starbucks,Food,Success,Credit
202,178,2023-04-20,Washington,28.86,Target,Shopping,Success,Credit
203,82,2023-02-11,New Orleans,171.85,Target,Shopping,Success,Debit
204,16,2023-03-31,Phoenix,5.22,McDonalds,Food,Success,Credit
205,37,2023-04-29,Las Vegas,64.28,Verizon,Bills,Success,Credit
206,195,2023-03-10,Boston,104.35,Airbnb,Travel,Success,Credit
207,155,2023-06-04,Richmond,107.79,Con Edison,Bills,Success,Debit
208,6,2023-03-30,Chicago,150.74,Walmart,Shopping,Success,Credit
209,247,2023-06-18,Las Vegas,26.8,AMC Theaters,Entertainment,Success,Credit
210,238,2023-04-11,Miami,14.75,Spotify,Entertainment,Success,Debit
211,84,2023-01-21,Baltimore,8.84,Starbucks,Food,Success,Debit
212,101,2023-03-04,Philadelphia,71.98,Uber,Travel,Failed,Debit
213,42,2023-03-15,Richmond,100.24,Con Edison,Bills,Success,Credit
214,132,2023-03-07,New Orleans,50.38,Chipotle,Food,Success,Credit
215,236,2023-05-04,Philadelphia,88.59,Verizon,Bills,Success,Credit
216,105,2023-06-15,Richmond,12.27,Spotify,Entertainment,Success,Credit
217,85,2023-06-08,Philadelphia,219.98,Con Edison,Bills,Success,Debit
218,187,2023-01-13,New York,21.84,Target,Shopping,Success,Debit
219,218,2023-05-20,Baltimore,86.06,Target,Shopping,Failed,Debit
220,186,2023-01-25,Philadelphia,13.99,Spotify,Entertainment,Success,Debit
221,117,2023-03-25,Atlanta,12.34,Spotify,Entertainment,Success,Debit
222,190,2023-05-06,Charlotte,171.65,Walmart,Shopping,Success,Credit
223,233,2023-04-09,New Orleans,144.44,Con Edison,Bills,Success,Debit
224,110,2023-04-27,Houston,120.22,Airbnb,Travel,Success,Credit
225,246,2023-03-04,Phoenix,14.75,Spotify,Entertainment,Success,Debit
226,222,2023-03-14,Richmond,12.22,Spotify,Entertainment,Success,Credit
227,181,2023-01-31,Las Vegas,102.69,Target,Shopping,Success,Credit
228,192,2023-06-21,Chicago,33.58,Verizon,Bills,Failed,Debit
229,106,2023-06-04,Orlando,44.53,Target,Shopping,Failed,Debit
230,29,2023-04-23,Nashville,125.01,Walmart,Shopping,Failed,Credit
231,235,2023-02-21,Baltimore,16.01,Netflix,Entertainment,Failed,Debit
232,109,2023-02-06,Chicago,162.31,Target,Shopping,Success,Credit
233,25,2023-02-19,Detroit,71.87,Walmart,Shopping,Success,Debit
234,162,2023-01-17,Boston,55.36,Walmart,Shopping,Success,Debit
235,39,2023-02-25,Washington,194.95,Amazon,Shopping,Success,Debit
236,144,2023-06-11,Boston,131.84,Walmart,Shopping,Failed,Credit
237,93,2023-03-15,Washington,243.31,Amazon,Shopping,Success,Credit
238,239,2023-02-14,Richmond,44.26,Uber,Travel,Success,Debit
239,194,2023-06-30,Washington,62.86,Verizon,Bills,Success,Credit
240,133,2023-01-07,Atlanta,934.42,Comcast,Bills,Success,Debit
241,54,2023-01-23,New York,232.35,Con Edison,Bills,Success,Debit
242,199,2023-01-04,New Orleans,12.47,Spotify,Entertainment,Success,Credit
243,174,2023-01-16,Charlotte,977.08,Airbnb,Travel,Success,Credit
244,125,2023-06-20,Chicago,51.39,Walmart,Shopping,Success,Credit
245,121,2023-06-17,Miami,160.84,Target,Shopping,Success,Debit
246,138,2023-06-30,Richmond,66.7,Chipotle,Food,Success,Debit
247,148,2023-01-31,New Orleans,577.92,Comcast,Bills,Success,Debit
248,220,2023-06-23,New York,22.34,Uber,Travel,Success,Credit
249,157,2023-05-14,Charlotte,62.42,Target,Shopping,Failed,Credit
250,133,2023-01-14,Atlanta,376.48,Comcast,Bills,Success,Debit
251,119,2023-04-04,Philadelphia,16.31,AMC Theaters,Entertainment,Success,Debit
252,148,2023-02-14,New Orleans,52.12,Uber,Travel,Success,Debit
253,90,2023-01-25,Detroit,871.67,Airbnb,Travel,Success,Debit
254,81,2023-06-07,Milwaukee,6.09,Starbucks,Food,Success,Debit
255,23,2023-05-09,Atlanta,191.99,Airbnb,Travel,Success,Debit
256,63,2023-02-08,Phoenix,43.55,Chipotle,Food,Success,Debit
257,66,2023-02-02,New Orleans,9.47,Starbucks,Food,Success,Debit
258,236,2023-03-03,Philadelphia,15.81,AMC Theaters,Entertainment,Success,Debit
259,98,2023-04-08,New Orleans,379.91,Comcast,Bills,Success,Credit
260,99,2023-03-03,Atlanta,47.66,Target,Shopping,Success,Credit
261,238,2023-03-01,Miami,89.38,Chipotle,Food,Success,Debit
262,159,2023-01-30,Chicago,494.24,Amazon,Shopping,Success,Debit
263,189,2023-03-23,Richmond,180.01,Target,Shopping,Failed,Debit
264,176,2023-01-08,Chicago,86.52,Comcast,Bills,Success,Debit
265,214,2023-06-24,Las Vegas,120.4,Delta Airlines,Travel,Success,Debit
266,147,2023-06-08,Milwaukee,5.14,McDonalds,Food,Success,Credit
267,145,2023-06-09,Phoenix,156.39,Walmart,Shopping,Success,Credit
268,127,2023-02-09,Washington,41.67,Target,Shopping,Success,Credit
269,23,2023-05-24,Atlanta,353.4,Amazon,Shopping,Success,Debit
270,8,2023-04-15,Los Angeles,53.21,Walmart,Shopping,Success,Credit
271,234,2023-03-26,Atlanta,87.04,Walmart,Shopping,Success,Debit
272,249,2023-04-19,New Orleans,11.93,Spotify,Entertainment,Success,Debit
273,236,2023-01-07,Philadelphia,8.05,Starbucks,Food,Success,Debit
274,224,2023-06-13,Charlotte,855.29,Airbnb,Travel,Success,Debit
275,84,2023-03-13,Baltimore,171.08,Delta Airlines,Travel,Success,Credit
276,119,2023-03-16,Philadelphia,89.46,Verizon,Bills,Success,Debit
277,16,2023-02-09,Phoenix,25.04,Chipotle,Food,Success,Debit
278,177,2023-04-20,Houston,11.78,AMC Theaters,Entertainment,Success,Credit
279,38,2023-06-08,Milwaukee,34.21,Walmart,Shopping,Success,Debit
280,172,2023-03-27,Richmond,61.31,Uber,Travel,Success,Credit
281,51,2023-02-13,Philadelphia,95.01,Uber,Travel,Success,Credit
282,109,2023-03-15,Chicago,12.85,McDonalds,Food,Success,Credit
283,60,2023-04-11,Houston,160.72,Amazon,Shopping,Success,Credit
284,58,2023-06-19,Detroit,8.13,McDonalds,Food,Success,Debit
285,25,2023-05-02,Detroit,29.3,Uber,Travel,Success,Credit
286,24,2023-04-04,Miami,207.11,Con Edison,Bills,Success,Debit
287,64,2023-04-24,Las Vegas,6.9,Starbucks,Food,Success,Debit
288,206,2023-05-21,Orlando,104.63,Walmart,Shopping,Success,Debit
289,33,2023-02-15,Houston,77.5,Verizon,Bills,Success,Credit
290,100,2023-03-10,Baltimore,116.14,Verizon,Bills,Success,Credit
291,168,2023-06-16,Baltimore,11.31,Netflix,Entertainment,Failed,Debit
292,209,2023-01-11,Chicago,226.87,Comcast,Bills,Success,Credit
293,143,2023-02-18,Washington,14.24,Netflix,Entertainment,Success,Credit
294,43,2023-02-28,Atlanta,176.15,Con Edison,Bills,Success,Credit
295,123,2023-01-10,Charlotte,6.01,Starbucks,Food,Success,Debit
296,7,2023-05-06,Charlotte,3.6,Starbucks,Food,Success,Debit
297,214,2023-03-13,Las Vegas,8.92,Starbucks,Food,Success,Credit
298,243,2023-02-15,Houston,10.45,McDonalds,Food,Success,Debit
299,81,2023-01-24,Milwaukee,168.97,Con Edison,Bills,Success,Credit
300,249,2023-01-14,New Orleans,478.01,Amazon,Shopping,Success,Debit
301,160,2023-06-21,Houston,19.93,Uber,Travel,Success,Debit
302,129,2023-02-16,Phoenix,112.93,Target,Shopping,Failed,Credit
303,197,2023-02-19,Las Vegas,828.72,Comcast,Bills,Success,Debit
304,174,2023-02-15,Charlotte,35.08,AMC Theaters,Entertainment,Success,Credit
305,190,2023-02-20,Charlotte,77.37,Uber,Travel,Success,Debit
306,142,2023-02-01,Houston,40.03,Uber,Travel,Success,Debit
307,45,2023-02-04,Detroit,543.08,Delta Airlines,Travel,Success,Debit
308,152,2023-06-03,New York,157.6,Con Edison,Bills,Success,Debit
309,16,2023-03-08,Phoenix,149.53,Target,Shopping,Success,Credit
310,247,2023-01-13,Las Vegas,118.93,Con Edison,Bills,Success,Credit
311,135,2023-06-17,Philadelphia,9.52,Spotify,Entertainment,Failed,Debit
312,141,2023-03-09,Chicago,20.06,AMC Theaters,Entertainment,Success,Debit
313,42,2023-05-02,Richmond,23.69,Target,Shopping,Success,Debit
314,83,2023-02-20,Atlanta,6.14,McDonalds,Food,Success,Debit
315,138,2023-05-11,Richmond,12.46,Netflix,Entertainment,Success,Debit
316,189,2023-01-13,Richmond,10.85,Spotify,Entertainment,Success,Debit
317,74,2023-04-04,Detroit,12.41,Spotify,Entertainment,Success,Debit
318,6,2023-06-07,Chicago,10.21,Chipotle,Food,Success,Debit
319,223,2023-05-19,Orlando,30.85,AMC Theaters,Entertainment,Success,Debit
320,38,2023-03-06,Milwaukee,8.72,McDonalds,Food,Failed,Debit
321,15,2023-04-21,New Orleans,535.96,Airbnb,Travel,Success,Debit
322,5,2023-01-18,Detroit,552.3,Comcast,Bills,Success,Credit
323,18,2023-06-15,Milwaukee,13.27,McDonalds,Food,Success,Credit
324,190,2023-02-09,Charlotte,476.6,Amazon,Shopping,Success,Credit
325,190,2023-04-18,Charlotte,549.1,Delta Airlines,Travel,Success,Credit
326,151,2023-02-04,Philadelphia,107.82,Target,Shopping,Success,Credit
327,155,2023-04-18,Richmond,579.77,Delta Airlines,Travel,Success,Debit
328,73,2023-03-03,Charlotte,324.03,Amazon,Shopping,Success,Debit
329,134,2023-05-10,Baltimore,5.66,McDonalds,Food,Success,Debit
330,216,2023-05-10,New Orleans,21.38,Target,Shopping,Success,Credit
331,23,2023-02-06,Atlanta,21.71,Amazon,Shopping,Success,Credit
332,125,2023-06-05,Chicago,29.66,Chipotle,Food,Success,Debit
333,239,2023-02-12,Richmond,99.25,Verizon,Bills,Success,Debit
334,67,2023-05-14,Atlanta,9.91,Starbucks,Food,Success,Credit
335,30,2023-04-22,New York,120.25,Con Edison,Bills,Success,Credit
336,95,2023-03-02,Phoenix,493.71,Amazon,Shopping,Success,Debit
337,156,2023-02-27,Orlando,78.51,Uber,Travel,Success,Debit
338,96,2023-06-01,Las Vegas,151.66,Con Edison,Bills,Success,Credit
339,226,2023-03-11,Chicago,144.48,Comcast,Bills,Success,Debit
340,24,2023-05-07,Miami,221.19,Delta Airlines,Travel,Success,Credit
341,237,2023-02-12,New York,188.34,Target,Shopping,Success,Credit
342,154,2023-05-11,Miami,79.87,Uber,Travel,Success,Credit
343,58,2023-03-26,Detroit,486.86,Amazon,Shopping,Success,Debit
344,115,2023-03-11,Milwaukee,20.88,AMC Theaters,Entertainment,Success,Debit
345,31,2023-03-07,Newark,11.62,Spotify,Entertainment,Success,Credit
346,212,2023-04-23,Boston,16.13,Netflix,Entertainment,Failed,Credit
347,150,2023-02-01,Baltimore,5.67,Starbucks,Food,Success,Debit
348,117,2023-05-27,Atlanta,9,Starbucks,Food,Failed,Credit
349,66,2023-02-10,New Orleans,12.98,Netflix,Entertainment,Success,Debit
350,133,2023-06-24,Atlanta,6.81,McDonalds,Food,Success,Debit
351,239,2023-06-24,Richmond,56.72,Con Edison,Bills,Success,Credit
352,150,2023-05-25,Baltimore,579.98,Airbnb,Travel,Success,Credit
353,199,2023-01-26,New Orleans,82.32,Uber,Travel,Success,Debit
354,40,2023-04-21,Boston,253.26,Airbnb,Travel,Success,Debit
355,2,2023-01-29,Richmond,41.61,Uber,Travel,Success,Credit
356,167,2023-06-15,Atlanta,38.7,Uber,Travel,Success,Credit
357,122,2023-05-14,Richmond,71.62,Verizon,Bills,Success,Credit
358,175,2023-02-01,Detroit,268.02,Amazon,Shopping,Success,Credit
359,1,2023-02-25,Baltimore,24.8,AMC Theaters,Entertainment,Failed,Credit
360,191,2023-01-02,Detroit,58.59,Chipotle,Food,Success,Credit
361,15,2023-02-10,New Orleans,19.64,Netflix,Entertainment,Success,Debit
362,82,2023-06-05,New Orleans,472.37,Airbnb,Travel,Success,Debit
363,52,2023-06-16,Orlando,857.43,Comcast,Bills,Success,Credit
364,153,2023-06-05,Baltimore,84.48,Walmart,Shopping,Success,Debit
365,158,2023-06-15,Detroit,225.14,Con Edison,Bills,Success,Debit
366,76,2023-05-01,Houston,30.97,AMC Theaters,Entertainment,Success,Debit
367,75,2023-03-10,Chicago,136.13,Target,Shopping,Failed,Credit
368,6,2023-01-27,Chicago,7.29,McDonalds,Food,Success,Credit
369,135,2023-05-08,Philadelphia,8.33,McDonalds,Food,Failed,Debit
370,70,2023-02-05,New York,12.96,Chipotle,Food,Success,Credit
371,15,2023-06-21,New Orleans,20.42,Chipotle,Food,Success,Credit
372,80,2023-02-03,Las Vegas,53.67,Chipotle,Food,Failed,Debit
373,111,2023-05-10,Washington,127.18,Verizon,Bills,Failed,Debit
